record_id,name,region,region_source,city,partner_segment,entity_types,product_categories,channels,website,email,phone,nip,krs,injector_relevance,score,priority,potential,score_confidence,recommended_action
PL-0001,"""Ampex"" S.C.",Ogólnopolska,source_regions,Wrocław,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,,,,,,unknown,33,D,low,low,enrich_record
PL-0002,"""Casiss""",Ogólnopolska,source_regions,Wrocław,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,,,,,,unknown,33,D,low,low,enrich_record
PL-0003,"""Maxim"" FH Beata Kropielnicka",Ogólnopolska,source_regions,Jelenia Góra,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,tobacco,B2B | B2C,,,,,,unknown,33,D,low,low,enrich_record
PL-0004,"""Wir"" Hurtownia Papierosów i Kawy",Opolskie,source_regions,Strzelce Opolskie,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | cigarettes | tobacco,B2B | B2C,"https://24opole.pl/21262,Wir._...",,,,,unknown,34,D,low,medium,enrich_record
PL-0005,7&7 Hurtownia Wielobranżowa,Kujawsko-pomorskie,source_regions,Rypin,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | tobacco,B2B | B2C,https://hurt77.pl/hurtownia,,,,,unknown,36,D,low,medium,enrich_record
PL-0006,"ABC. Hurtownia papierosów, art. chemiczno - kosmetyczno - higienicznych, Krówka Kaszubska",Pomorskie,source_regions,Władysławowo,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.hurtabc.pl,,+48 58 674 24 40,,,unknown,34,D,low,medium,enrich_record
PL-0007,ACORD Sp. z o.o.,Opolskie,source_regions,Nysa,traditional_or_specialist_wholesale,wholesaler,smoking_accessories | tobacco,B2B,,,,,,unknown,22,D,low,low,enrich_record
PL-0008,ADGAR Hurtownia,Warmińsko-mazurskie,source_regions,Olsztyn,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,tobacco,B2B | B2C,"https://hurtownie.pl/hurtownie,...",,,,,unknown,34,D,low,medium,enrich_record
PL-0009,Almark,Wielkopolskie,source_regions,Wielkopolskie,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://almark.pl/index.php/of...,,+48 724 282 272,,,unknown,40,C,low,medium,enrich_record
PL-0010,ANIA Sp. z o.o.,Podkarpackie,source_regions,Rzeszów,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | tobacco,B2B | B2C,https://ania.rze.pl,,,,,unknown,34,D,low,medium,enrich_record
PL-0011,Arlgroup,Nieustalony,unknown,,vape_wholesale,wholesaler,vape,B2B,,,,,,unknown,16,D,low,low,verify_location
PL-0012,Artus FHU,Kujawsko-pomorskie,source_regions,Kujawsko-Pomorskie,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,tobacco,B2B | B2C,https://pkt.pl/szukaj/hurtowni...,,,,,unknown,34,D,low,medium,enrich_record
PL-0013,ASW Trafika,Kujawsko-pomorskie,source_regions,Bydgoszcz,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://web.facebook.com/ASW-Trafika-Sklep-Tytoniowy-486411178214372,,+48 730 720 551,,,unknown,34,D,low,medium,enrich_record
PL-0014,ATG,Nieustalony,unknown,,vape_wholesale,wholesaler,vape,B2B,,,,,,unknown,16,D,low,low,verify_location
PL-0015,Augusto Limaro,Ogólnopolska,source_regions,Jelenia Góra,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,fmcg | tobacco,B2B | B2C,https://augustolimaro.pl/o-nas,,,,,unknown,38,D,low,medium,enrich_record
PL-0016,Beata Hurtownia Papierosów,Ogólnopolska,source_regions,Katowice,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,,,,,,unknown,33,D,low,low,enrich_record
PL-0017,BESTMAR — Hurtownia Wielobranżowa,Podkarpackie,source_regions,Rzeszów,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes,B2B | B2C,https://agrohurtsa.pl/kontrahe...,,,,,unknown,32,D,low,medium,enrich_record
PL-0018,BILLS Sp. z o.o. (marka Smoks),Wielkopolskie,source_regions,Ostrzeszów,traditional_or_specialist_wholesale,distributor | wholesaler,injector_ecosystem | injector_machines | powermatic,B2B,https://powermatic.pl,hurt@bills.pl,+48 62 586 07 38,,,likely,66,B,high,high,sales_outreach
PL-0019,Bista Standard,Kujawsko-pomorskie,inferred_from_city,Bydgoszcz,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://www.bista.pl,biuro@bista.pl,+48 52 360 71 15,5542559901,,unknown,40,C,low,high,enrich_record
PL-0020,BongoGo.pl,Ogólnopolska,source_regions,Szczecin,headshop_accessories,wholesaler | tobacco_retailer,smoking_accessories | injector_machines | powermatic | shisha_bongs | tobacco,B2B | B2C,https://bongogo.pl/hurtownia-b...,kontakt@bongogo.pl,+48 601 779 697,9551541914,,likely,61,B,medium,high,sales_outreach
PL-0021,BONUS Hurtownia Papierosów,Świętokrzyskie,source_regions,Starachowice,traditional_or_specialist_wholesale,wholesaler,tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0022,Buszek.com / Hurt.Buszek.com,Ogólnopolska,source_regions,Ogólnopolska,headshop_accessories,wholesaler | tobacco_retailer,smoking_accessories | shisha_bongs | tobacco,B2B | B2C,https://buszek.com,,,,,unknown,38,D,low,medium,enrich_record
PL-0023,Carmen Polska,Małopolskie,source_regions,Kraków,traditional_or_specialist_wholesale,wholesaler,fmcg | tobacco,,https://carmenpolska.pl,,,,,unknown,24,D,low,low,enrich_record
PL-0024,Carmen Polska Sp. z o.o.,Mazowieckie,source_regions,Warszawa,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://carmen.biz.pl,,+48 22 868 14 49,,,unknown,34,D,low,medium,enrich_record
PL-0025,CARMEN S.C.,Świętokrzyskie,source_regions,Starachowice,traditional_or_specialist_wholesale,wholesaler,tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0026,Carmen Sp. z o.o.,Śląskie,source_regions,Jasienica,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,https://carmen-jasienica.pl,,+48 33 817 24 00,,,unknown,39,D,low,medium,enrich_record
PL-0027,CARO Sp.j. R. i R. Niewczas,Świętokrzyskie,source_regions,Ostrowiec Świętokrzyski,traditional_or_specialist_wholesale,wholesaler,tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0028,CK Complex B2B,Ogólnopolska,source_regions,Ogólnopolska,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://b2b.ckcomplex.pl/pl/li...,,+48 510 329 228,9291744080,,unknown,46,C,medium,high,enrich_record
PL-0029,CORA Zakład Handlowo-Usługowy,Świętokrzyskie,source_regions,Kielce,traditional_or_specialist_wholesale,wholesaler,tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0030,Czechomax,Dolnośląskie,source_regions,Wrocław,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | tobacco,B2B | B2C,https://czechomax.pl,,,,,unknown,34,D,low,medium,enrich_record
PL-0031,Donmarco,Ogólnopolska,source_regions,,traditional_or_specialist_wholesale,distributor | wholesaler,injector_ecosystem | injector_machines,B2B | B2C,https://donmarco.pl,,,,,confirmed_or_core,58,C,medium,medium,enrich_record
PL-0032,Dopalenia.pl,Łódzkie,source_regions,Konstantynów Łódzki,traditional_or_specialist_wholesale,retailer | wholesaler,ryo | injector_ecosystem | injector_machines | smoking_accessories | cigarettes | powermatic | tobacco,B2B | B2C,https://dopalenia.pl/nabijarki...,sklep@dopalenia.pl,665-852-033,7311693836,,confirmed_or_core,64,B,medium,high,sales_outreach
PL-0033,Drek Hurtownia Gilz,Mazowieckie,source_regions,Radom,traditional_or_specialist_wholesale,wholesaler,smoking_accessories | tobacco,B2B,,,504 083 360,,,unknown,26,D,low,low,enrich_record
PL-0034,Dymek — Hurtownia Papierosów,Małopolskie,source_regions,Kraków,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | cigarettes | tobacco,B2B | B2C,https://dymek.com.pl,,,,,unknown,34,D,low,medium,enrich_record
PL-0035,E-LIQ Distribution,Nieustalony,unknown,,vape_wholesale,retailer | wholesaler,vape,B2B,https://b2b-eliq.pl,,,,,unknown,20,D,low,low,verify_location
